`,Time,x,y,z,traj_tx,traj_ty,traj_tz
195,1.95,426.6486545,-12.23829979,0.678562184,426.0436275,-12.25,0
196,1.96,426.7694911,-12.23806993,0.678264172,426.164337,-12.25,0
197,1.97,426.8904562,-12.23784111,0.678018336,426.285234,-12.25,0
198,1.98,427.0115685,-12.23761303,0.677826195,426.4063386,-12.25,0
199,1.99,427.1328437,-12.23738532,0.677688608,426.5276653,-12.25,0
200,2,427.2542853,-12.23715766,0.677605118,426.6492137,-12.25,0
201,2.01,427.3758935,-12.23692974,0.677574002,426.7709803,-12.25,0
202,2.02,427.4976685,-12.2367013,0.677593033,426.8929623,-12.25,0
203,2.03,427.6196108,-12.23647207,0.677660408,427.0151573,-12.25,0
204,2.04,427.7417207,-12.23624182,0.677774182,427.1375624,-12.25,0
205,2.05,427.8639985,-12.23601035,0.677932543,427.2601738,-12.25,0
206,2.06,427.9864444,-12.23577753,0.67813398,427.3829876,-12.25,0
207,2.07,428.1090586,-12.23554328,0.678377194,427.5060001,-12.25,0
208,2.08,428.2318411,-12.23530756,0.678660885,427.6292066,-12.25,0
209,2.09,428.3547922,-12.23507039,0.678983501,427.7526023,-12.25,0
210,2.1,428.4779122,-12.2348318,0.679343096,427.8761827,-12.25,0
211,2.11,428.6012012,-12.23459188,0.679737208,427.9999434,-12.25,0
212,2.12,428.7246596,-12.23435072,0.680162866,428.1238802,-12.25,0
213,2.13,428.8482876,-12.23410846,0.68061675,428.2479892,-12.25,0
214,2.14,428.9720854,-12.23386522,0.681095285,428.3722666,-12.25,0
215,2.15,429.0960532,-12.23362114,0.681594676,428.496709,-12.25,0
216,2.16,429.2201912,-12.23337637,0.682110943,428.6213132,-12.25,0
217,2.17,429.3444996,-12.23313103,0.68264006,428.7460762,-12.25,0
218,2.18,429.4689786,-12.23288526,0.683178017,428.8709957,-12.25,0
219,2.19,429.5936282,-12.23263919,0.683720859,428.9960694,-12.25,0
220,2.2,429.7184486,-12.23239295,0.684264718,429.1212954,-12.25,0
221,2.21,429.8434399,-12.23214667,0.684805844,429.2466722,-12.25,0
222,2.22,429.9686022,-12.23190047,0.685340611,429.3721986,-12.25,0
223,2.23,430.0939355,-12.2316545,0.685865554,429.4978735,-12.25,0
224,2.24,430.2194399,-12.2314089,0.686377392,429.6236963,-12.25,0
225,2.25,430.3451154,-12.23116381,0.686873022,429.7496664,-12.25,0
226,2.26,430.470962,-12.2309194,0.687349527,429.8757834,-12.25,0
227,2.27,430.5969799,-12.23067582,0.687804093,430.0020463,-12.25,0
228,2.28,430.7231691,-12.23043324,0.688234007,430.1284533,-12.25,0
229,2.29,430.8495294,-12.23019184,0.688636736,430.2550026,-12.25,0
230,2.3,430.9760453,-12.22995184,0.689008757,430.3816702,-12.25,0
231,2.31,431.1026731,-12.2297136,0.689343912,430.508403,-12.25,0
232,2.32,431.2293662,-12.22947756,0.689633939,430.6351475,-12.25,0
233,2.33,431.3560785,-12.22924425,0.68986934,430.7618534,-12.25,0
234,2.34,431.4827796,-12.2290142,0.690042135,430.8884932,-12.25,0
235,2.35,431.6094661,-12.22878791,0.690148661,431.0150686,-12.25,0
236,2.36,431.7361384,-12.22856584,0.690189667,431.141582,-12.25,0
237,2.37,431.8627969,-12.2283484,0.690169861,431.2680342,-12.25,0
238,2.38,431.9894413,-12.22813592,0.690094845,431.3944262,-12.25,0
239,2.39,432.1160709,-12.22792864,0.689969348,431.5207598,-12.25,0
240,2.4,432.2426853,-12.22772676,0.689796926,431.6470382,-12.25,0
241,2.41,432.3692839,-12.22753038,0.689580245,431.7732656,-12.25,0
242,2.42,432.4958661,-12.22733956,0.689321583,431.8994473,-12.25,0
243,2.43,432.6224316,-12.22715431,0.689023275,432.0255885,-12.25,0
244,2.44,432.7489801,-12.22697454,0.688687905,432.1516944,-12.25,0
245,2.45,432.8755114,-12.22680015,0.688318345,432.2777698,-12.25,0
246,2.46,433.0020252,-12.226631,0.687917678,432.403819,-12.25,0
247,2.47,433.1285212,-12.22646691,0.687489212,432.5298459,-12.25,0
248,2.48,433.2549991,-12.22630769,0.687036461,432.6558543,-12.25,0
249,2.49,433.3814587,-12.22615313,0.686562973,432.7818479,-12.25,0
250,2.5,433.5078999,-12.22600305,0.686072283,432.90783,-12.25,0
251,2.51,433.6343224,-12.22585726,0.685568009,433.0338037,-12.25,0
252,2.52,433.760726,-12.22571559,0.685053828,433.1597715,-12.25,0
253,2.53,433.8871106,-12.2255779,0.684533468,433.2857361,-12.25,0
254,2.54,434.0134773,-12.22544408,0.684010798,433.4117018,-12.25,0
255,2.55,434.1398356,-12.22531399,0.683490358,433.5376832,-12.25,0
256,2.56,434.2661987,-12.22518755,0.682977392,433.6636974,-12.25,0
257,2.57,434.39258,-12.22506466,0.682477602,433.789761,-12.25,0
258,2.58,434.5189927,-12.22494519,0.681996646,433.9158899,-12.25,0
259,2.59,434.6454501,-12.22482899,0.681539699,434.0420998,-12.25,0
260,2.6,434.7719652,-12.2247159,0.681111126,434.1684063,-12.25,0
261,2.61,434.8985515,-12.22460573,0.680714574,434.2948248,-12.25,0
262,2.62,435.0252222,-12.22449825,0.680353125,434.4213705,-12.25,0
263,2.63,435.1519907,-12.22439319,0.680029376,434.5480585,-12.25,0
264,2.64,435.2788691,-12.22429022,0.679745426,434.6749011,-12.25,0
265,2.65,435.4058613,-12.22418899,0.679502385,434.8018995,-12.25,0
266,2.66,435.5329671,-12.22408916,0.679300339,434.9290521,-12.25,0
267,2.67,435.6601868,-12.2239904,0.679138515,435.0563575,-12.25,0
268,2.68,435.7875204,-12.2238924,0.679015699,435.1838143,-12.25,0
269,2.69,435.9149682,-12.2237949,0.678930663,435.3114205,-12.25,0
270,2.7,436.0425306,-12.22369767,0.678882733,435.4391741,-12.25,0
271,2.71,436.1702076,-12.22360052,0.678871963,435.5670724,-12.25,0
272,2.72,436.2979996,-12.22350331,0.678898207,435.6951125,-12.25,0
273,2.73,436.4259066,-12.22340594,0.67896103,435.8232904,-12.25,0
274,2.74,436.5539287,-12.22330838,0.679059769,435.9516025,-12.25,0
275,2.75,436.6820662,-12.22321064,0.679193565,436.0800454,-12.25,0
276,2.76,436.8103191,-12.22311279,0.679361358,436.2086156,-12.25,0
277,2.77,436.9386876,-12.22301492,0.679561818,436.3373102,-12.25,0
278,2.78,437.0671718,-12.22291715,0.679793277,436.4661262,-12.25,0
279,2.79,437.1957719,-12.22281962,0.680053737,436.5950611,-12.25,0
280,2.8,437.324488,-12.22272247,0.680340872,436.7241121,-12.25,0
281,2.81,437.4533204,-12.22262586,0.680652049,436.8532769,-12.25,0
282,2.82,437.5822692,-12.22252992,0.680984407,436.9825534,-12.25,0
283,2.83,437.7113344,-12.22243481,0.681334934,437.1119395,-12.25,0
284,2.84,437.8405163,-12.22234063,0.681700482,437.2414332,-12.25,0
285,2.85,437.9698148,-12.22224751,0.682077825,437.3710328,-12.25,0
286,2.86,438.0992301,-12.22215554,0.682463732,437.500737,-12.25,0
287,2.87,438.2287623,-12.2220648,0.682854977,437.6305443,-12.25,0
288,2.88,438.3584115,-12.22197536,0.68324836,437.7604539,-12.25,0
289,2.89,438.4881777,-12.22188729,0.683640727,437.8904647,-12.25,0
290,2.9,438.6180611,-12.22180066,0.684029014,438.0205762,-12.25,0
291,2.91,438.7480616,-12.22171553,0.684410269,438.1507877,-12.25,0
292,2.92,438.8781793,-12.22163198,0.68478167,438.2810984,-12.25,0
293,2.93,439.0084143,-12.22155008,0.685140498,438.4115065,-12.25,0
294,2.94,439.1387667,-12.22146992,0.685484168,438.5420106,-12.25,0
295,2.95,439.2692268,-12.2213916,0.685809547,438.6725958,-12.25,0
296,2.96,439.3997642,-12.22131534,0.686111677,438.8032246,-12.25,0
297,2.97,439.5303455,-12.22124139,0.686384066,438.9338589,-12.25,0
298,2.98,439.6609373,-12.22117009,0.686619323,439.0644626,-12.25,0
299,2.99,439.7915162,-12.22110177,0.686811047,439.1950136,-12.25,0
300,3,439.922079,-12.22103673,0.686955974,439.3255126,-12.25,0
301,3.01,440.0526261,-12.22097528,0.687053955,439.4559611,-12.25,0
302,3.02,440.1831576,-12.22091768,0.687107253,439.5863593,-12.25,0
303,3.03,440.3136734,-12.22086414,0.68711956,439.716708,-12.25,0
304,3.04,440.4441732,-12.22081482,0.687094127,439.8470083,-12.25,0
305,3.05,440.5746568,-12.22076981,0.687033171,439.9772624,-12.25,0
306,3.06,440.7051236,-12.22072919,0.686938209,440.1074734,-12.25,0
307,3.07,440.8355733,-12.22069297,0.686810507,440.2376447,-12.25,0
308,3.08,440.9660058,-12.22066112,0.68665143,440.3677801,-12.25,0
309,3.09,441.0964207,-12.22063361,0.686462627,440.4978835,-12.25,0
310,3.1,441.2268178,-12.22061032,0.686246093,440.6279583,-12.25,0
311,3.11,441.357197,-12.22059116,0.686004108,440.7580077,-12.25,0
312,3.12,441.4875582,-12.22057597,0.685739126,440.8880348,-12.25,0
313,3.13,441.617901,-12.22056461,0.685453718,441.0180425,-12.25,0
314,3.14,441.7482254,-12.22055692,0.685150536,441.1480335,-12.25,0
315,3.15,441.8785311,-12.22055275,0.684832283,441.2780103,-12.25,0
316,3.16,442.008818,-12.22055196,0.684501691,441.4079753,-12.25,0
317,3.17,442.1390859,-12.2205544,0.684161514,441.5379305,-12.25,0
318,3.18,442.2693347,-12.22055996,0.683814526,441.6678779,-12.25,0
319,3.19,442.3995651,-12.22056852,0.683463557,441.7978205,-12.25,0
320,3.2,442.5297837,-12.22057999,0.683111877,441.9277687,-12.25,0
321,3.21,442.6600008,-12.22059428,0.682763268,442.0577357,-12.25,0
322,3.22,442.7902267,-12.22061131,0.682421855,442.1877341,-12.25,0
323,3.23,442.9204716,-12.22063097,0.68209173,442.317776,-12.25,0
324,3.24,443.0507457,-12.22065316,0.681776633,442.4478734,-12.25,0
325,3.25,443.1810594,-12.22067771,0.681479803,442.5780383,-12.25,0
326,3.26,443.3114228,-12.22070449,0.681203957,442.7082825,-12.25,0
327,3.27,443.4418462,-12.22073333,0.680951342,442.8386178,-12.25,0
328,3.28,443.5723401,-12.22076404,0.680723848,442.9690556,-12.25,0
329,3.29,443.7029139,-12.22079641,0.680523056,443.0996058,-12.25,0
330,3.3,443.8335713,-12.22083017,0.680349892,443.2302703,-12.25,0
331,3.31,443.9643122,-12.22086511,0.680204537,443.3610479,-12.25,0
332,3.32,444.0951367,-12.22090099,0.680086526,443.4919377,-12.25,0
333,3.33,444.2260449,-12.2209376,0.679995035,443.6229388,-12.25,0
334,3.34,444.3570369,-12.22097474,0.679929227,443.7540499,-12.25,0
335,3.35,444.4881129,-12.22101225,0.679888711,443.8852696,-12.25,0
336,3.36,444.6192731,-12.22104998,0.679873633,444.016596,-12.25,0
337,3.37,444.7505176,-12.22108778,0.679884034,444.1480269,-12.25,0
338,3.38,444.8818466,-12.22112558,0.67991978,444.2795593,-12.25,0
339,3.39,445.0132602,-12.22116332,0.679980594,444.4111904,-12.25,0
340,3.4,445.1447584,-12.22120099,0.680066054,444.5429174,-12.25,0
341,3.41,445.2763414,-12.22123858,0.680175553,444.6747378,-12.25,0
342,3.42,445.4080092,-12.22127612,0.680308264,444.8066492,-12.25,0
343,3.43,445.5397621,-12.22131367,0.68046313,444.9386493,-12.25,0
344,3.44,445.6716001,-12.22135129,0.680638836,445.0707362,-12.25,0
345,3.45,445.8035233,-12.22138902,0.680833806,445.2029078,-12.25,0
346,3.46,445.9355319,-12.22142696,0.681046224,445.3351622,-12.25,0
347,3.47,446.067626,-12.22146515,0.681274094,445.467498,-12.25,0
348,3.48,446.1998057,-12.22150368,0.6815153,445.5999135,-12.25,0
349,3.49,446.332071,-12.2215426,0.681767623,445.7324073,-12.25,0
350,3.5,446.464422,-12.22158196,0.682028758,445.8649784,-12.25,0
351,3.51,446.5968588,-12.22162182,0.68229635,445.9976256,-12.25,0
352,3.52,446.7293814,-12.22166221,0.682568045,446.1303481,-12.25,0
353,3.53,446.86199,-12.22170317,0.682841513,446.2631453,-12.25,0
354,3.54,446.9946845,-12.22174474,0.683114446,446.3960165,-12.25,0
355,3.55,447.127465,-12.22178695,0.683384594,446.5289613,-12.25,0
356,3.56,447.2603315,-12.22182984,0.683649773,446.6619794,-12.25,0
357,3.57,447.3932841,-12.22187344,0.683907896,446.7950702,-12.25,0
358,3.58,447.5263228,-12.22191779,0.684156952,446.9282326,-12.25,0
359,3.59,447.6594477,-12.22196294,0.684395036,447.0614655,-12.25,0
360,3.6,447.7926544,-12.22200896,0.684620054,447.1947612,-12.25,0
361,3.61,447.9259212,-12.22205591,0.684828566,447.3280927,-12.25,0
362,3.62,448.0592223,-12.22210394,0.685015896,447.4614306,-12.25,0
363,3.63,448.192532,-12.22215316,0.685176549,447.5947465,-12.25,0
364,3.64,448.325829,-12.22220376,0.685305431,447.7280199,-12.25,0
365,3.65,448.4591091,-12.22225589,0.685399721,447.8612492,-12.25,0
