`,Time,traj_tx,traj_ty,traj_tz,,,
555,5.55,474.0594062,-12.25,0,,,
556,5.56,474.2037254,-12.25,0,,,
557,5.57,474.3481132,-12.25,0,,,
558,5.58,474.4925694,-12.25,0,,,
559,5.59,474.637094,-12.25,0,,,
560,5.6,474.7816871,-12.25,0,,,
561,5.61,474.9263485,-12.25,0,,,
562,5.62,475.0710782,-12.25,0,,,
563,5.63,475.2158763,-12.25,0,,,
564,5.64,475.3607426,-12.25,0,,,
565,5.65,475.5056772,-12.25,0,,,
566,5.66,475.65068,-12.25,0,,,
567,5.67,475.795751,-12.25,0,,,
568,5.68,475.9408902,-12.25,0,,,
569,5.69,476.0860975,-12.25,0,,,
570,5.7,476.2313729,-12.25,0,,,
571,5.71,476.3767164,-12.25,0,,,
572,5.72,476.522128,-12.25,0,,,
573,5.73,476.6676076,-12.25,0,,,
574,5.74,476.8131552,-12.25,0,,,
575,5.75,476.9587708,-12.25,0,,,
576,5.76,477.1044544,-12.25,0,,,
577,5.77,477.2502059,-12.25,0,,,
578,5.78,477.3960254,-12.25,0,,,
579,5.79,477.5419127,-12.25,0,,,
580,5.8,477.687868,-12.25,0,,,
581,5.81,477.8338911,-12.25,0,,,
582,5.82,477.9799822,-12.25,0,,,
583,5.83,478.1261411,-12.25,0,,,
584,5.84,478.2723679,-12.25,0,,,
585,5.85,478.4186625,-12.25,0,,,
586,5.86,478.5650249,-12.25,0,,,
587,5.87,478.7114553,-12.25,0,,,
588,5.88,478.8579534,-12.25,0,,,
589,5.89,479.0045194,-12.25,0,,,
590,5.9,479.1511532,-12.25,0,,,
591,5.91,479.2978549,-12.25,0,,,
592,5.92,479.4446245,-12.25,0,,,
593,5.93,479.5914618,-12.25,0,,,
594,5.94,479.7383671,-12.25,0,,,
595,5.95,479.8853402,-12.25,0,,,
596,5.96,480.0323812,-12.25,0,,,
597,5.97,480.1794901,-12.25,0,,,
598,5.98,480.3266668,-12.25,0,,,
599,5.99,480.4739115,-12.25,0,,,
600,6,480.621224,-12.25,0,,,
601,6.01,480.7686045,-12.25,0,,,
602,6.02,480.9160529,-12.25,0,,,
603,6.03,481.0635692,-12.25,0,,,
604,6.04,481.2111535,-12.25,0,,,
605,6.05,481.3588057,-12.25,0,,,
606,6.06,481.5065259,-12.25,0,,,
607,6.07,481.654314,-12.25,0,,,
608,6.08,481.8021701,-12.25,0,,,
609,6.09,481.9500941,-12.25,0,,,
610,6.1,482.0980861,-12.25,0,,,
611,6.11,482.246146,-12.25,0,,,
612,6.12,482.3942739,-12.25,0,,,
613,6.13,482.5424698,-12.25,0,,,
614,6.14,482.6907336,-12.25,0,,,
615,6.15,482.8390654,-12.25,0,,,
616,6.16,482.9874652,-12.25,0,,,
617,6.17,483.1359328,-12.25,0,,,
618,6.18,483.2844685,-12.25,0,,,
619,6.19,483.4330721,-12.25,0,,,
620,6.2,483.5817436,-12.25,0,,,
621,6.21,483.730483,-12.25,0,,,
622,6.22,483.8792904,-12.25,0,,,
623,6.23,484.0281657,-12.25,0,,,
624,6.24,484.1771089,-12.25,0,,,
625,6.25,484.32612,-12.25,0,,,
626,6.26,484.4751989,-12.25,0,,,
627,6.27,484.6243458,-12.25,0,,,
628,6.28,484.7735605,-12.25,0,,,
629,6.29,484.9228431,-12.25,0,,,
630,6.3,485.0721936,-12.25,0,,,
631,6.31,485.2216118,-12.25,0,,,
632,6.32,485.371098,-12.25,0,,,
633,6.33,485.5206519,-12.25,0,,,
