,Time,tx,ty
24977,249.77,367.214883,1133.25
24978,249.78,367.2287715,1133.25
24979,249.79,367.2426598,1133.25
24980,249.8,367.2565482,1133.25
24981,249.81,367.2704365,1133.25
24982,249.82,367.2843248,1133.25
24983,249.83,367.2982131,1133.25
24984,249.84,367.3121014,1133.25
24985,249.85,367.3259896,1133.25
24986,249.86,367.3398778,1133.25
24987,249.87,367.3537659,1133.25
24988,249.88,367.3676541,1133.25
24989,249.89,367.3815422,1133.25
24990,249.9,367.3954303,1133.25
24991,249.91,367.4093183,1133.25
24992,249.92,367.4232063,1133.25
24993,249.93,367.4370943,1133.25
24994,249.94,367.4509823,1133.25
24995,249.95,367.4648702,1133.25
24996,249.96,367.4787581,1133.25
24997,249.97,367.492646,1133.25
24998,249.98,367.5065339,1133.25
24999,249.99,367.5204217,1133.25
25000,250,367.5343095,1133.25
25001,250.01,367.5481972,1133.25
25002,250.02,367.562085,1133.25
25003,250.03,367.5759727,1133.25
25004,250.04,367.5898604,1133.25
25005,250.05,367.6037481,1133.25
25006,250.06,367.6176357,1133.25
25007,250.07,367.6315233,1133.25
25008,250.08,367.6454109,1133.25
25009,250.09,367.6592985,1133.25
25010,250.1,367.673186,1133.25
25011,250.11,367.6870735,1133.25
25012,250.12,367.700961,1133.25
25013,250.13,367.7148485,1133.25
25014,250.14,367.7287359,1133.25
25015,250.15,367.7426233,1133.25
25016,250.16,367.7565107,1133.25
25017,250.17,367.770398,1133.25
25018,250.18,367.7842854,1133.25
25019,250.19,367.7981727,1133.25
25020,250.2,367.81206,1133.25
25021,250.21,367.8259473,1133.25
25022,250.22,367.8398345,1133.25
25023,250.23,367.8537217,1133.25
25024,250.24,367.8676089,1133.25
25025,250.25,367.8814961,1133.25
25026,250.26,367.8953832,1133.25
25027,250.27,367.9092704,1133.25
25028,250.28,367.9231575,1133.25
25029,250.29,367.9370446,1133.25
25030,250.3,367.9509316,1133.25
25031,250.31,367.9648187,1133.25
25032,250.32,367.9787057,1133.25
25033,250.33,367.9925927,1133.25
25034,250.34,368.0064797,1133.25
25035,250.35,368.0203667,1133.25
25036,250.36,368.0342536,1133.25
25037,250.37,368.0481405,1133.25
25038,250.38,368.0620274,1133.25
25039,250.39,368.0759143,1133.25
25040,250.4,368.0898012,1133.25
25041,250.41,368.103688,1133.25
25042,250.42,368.1175749,1133.25
25043,250.43,368.1314617,1133.25
25044,250.44,368.1453485,1133.25
25045,250.45,368.1592353,1133.25
25046,250.46,368.173122,1133.25
25047,250.47,368.1870087,1133.25
25048,250.48,368.2008954,1133.25
25049,250.49,368.2147821,1133.25
25050,250.5,368.2286688,1133.25
25051,250.51,368.2425555,1133.25
25052,250.52,368.2564421,1133.25
25053,250.53,368.2703287,1133.25
25054,250.54,368.2842153,1133.25
25055,250.55,368.2981019,1133.25
25056,250.56,368.3119884,1133.25
25057,250.57,368.325875,1133.25
25058,250.58,368.3397615,1133.25
25059,250.59,368.353648,1133.25
25060,250.6,368.3675345,1133.25
25061,250.61,368.381421,1133.25
25062,250.62,368.3953074,1133.25
25063,250.63,368.4091939,1133.25
25064,250.64,368.4230803,1133.25
25065,250.65,368.4369667,1133.25
25066,250.66,368.4508531,1133.25
25067,250.67,368.4647394,1133.25
25068,250.68,368.4786258,1133.25
25069,250.69,368.4925121,1133.25
25070,250.7,368.5063985,1133.25
25071,250.71,368.5202848,1133.25
25072,250.72,368.5341711,1133.25
25073,250.73,368.5480574,1133.25
25074,250.74,368.5619436,1133.25
25075,250.75,368.5758299,1133.25
25076,250.76,368.5897161,1133.25
25077,250.77,368.6036024,1133.25
25078,250.78,368.6174886,1133.25
25079,250.79,368.6313748,1133.25
25080,250.8,368.645261,1133.25
25081,250.81,368.6591472,1133.25
25082,250.82,368.6730334,1133.25
25083,250.83,368.6869196,1133.25
25084,250.84,368.7008058,1133.25
25085,250.85,368.714692,1133.25
25086,250.86,368.7285781,1133.25
25087,250.87,368.7424643,1133.25
25088,250.88,368.7563504,1133.25
25089,250.89,368.7702366,1133.25
25090,250.9,368.7841227,1133.25
25091,250.91,368.7980088,1133.25
25092,250.92,368.8118949,1133.25
25093,250.93,368.825781,1133.25
25094,250.94,368.8396672,1133.25
25095,250.95,368.8535533,1133.25
25096,250.96,368.8674394,1133.25
25097,250.97,368.8813254,1133.25
25098,250.98,368.8952115,1133.25
25099,250.99,368.9090976,1133.25
25100,251,368.9229837,1133.25
25101,251.01,368.9368698,1133.25
25102,251.02,368.9507558,1133.25
25103,251.03,368.9646419,1133.25
25104,251.04,368.978528,1133.25
25105,251.05,368.992414,1133.25
25106,251.06,369.0063001,1133.25
25107,251.07,369.0201862,1133.25
25108,251.08,369.0340722,1133.25
25109,251.09,369.0479583,1133.25
25110,251.1,369.0618444,1133.25
25111,251.11,369.0757304,1133.25
25112,251.12,369.0896165,1133.25
25113,251.13,369.1035025,1133.25
25114,251.14,369.1173886,1133.25
25115,251.15,369.1312747,1133.25
25116,251.16,369.1451607,1133.25
25117,251.17,369.1590468,1133.25
25118,251.18,369.1729329,1133.25
25119,251.19,369.1868189,1133.25
25120,251.2,369.200705,1133.25
25121,251.21,369.2145911,1133.25
25122,251.22,369.2284772,1133.25
25123,251.23,369.2423633,1133.25
25124,251.24,369.2562494,1133.25
25125,251.25,369.2701355,1133.25
25126,251.26,369.2840216,1133.25
25127,251.27,369.2979077,1133.25
25128,251.28,369.3117939,1133.25
25129,251.29,369.32568,1133.25
25130,251.3,369.3395661,1133.25
25131,251.31,369.3534523,1133.25
25132,251.32,369.3673384,1133.25
25133,251.33,369.3812245,1133.25
25134,251.34,369.3951107,1133.25
25135,251.35,369.4089969,1133.25
25136,251.36,369.422883,1133.25
25137,251.37,369.4367692,1133.25
25138,251.38,369.4506554,1133.25
25139,251.39,369.4645416,1133.25
25140,251.4,369.4784278,1133.25
25141,251.41,369.492314,1133.25
25142,251.42,369.5062003,1133.25
25143,251.43,369.5200865,1133.25
25144,251.44,369.5339727,1133.25
25145,251.45,369.547859,1133.25
25146,251.46,369.5617453,1133.25
25147,251.47,369.5756315,1133.25
25148,251.48,369.5895178,1133.25
25149,251.49,369.6034041,1133.25
25150,251.5,369.6172905,1133.25
25151,251.51,369.6311768,1133.25
25152,251.52,369.6450631,1133.25
25153,251.53,369.6589495,1133.25
